Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
"Boston, MA metro area",May 2015,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",5/1/2015,5/31/2015,,14454,Value,18779,0.097673603,-0.309773220,0.996607553,0.8%,0.4%,4011,34.6%,-9.3%,12062,13.7%,-45.6%,13,-37,-60,238.590047558,-0.011838371,0.025402005,429900,-0.020728929,0.026014320,236.527251404,0.050726828,0.027925641,$405K,5.2%,5.2%,3,-0.6,-2,8375,1.4%,9.1%,1,0.627895008,-0.058287221,0.572107418,14454,5829,0.097326807,0.738961814,30,0.257917427,0.047926852,0.092875016,-1,-2,0.363749688,0.051228708,0.024459935
"Philadelphia, PA metro area",January 2020,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",1/1/2020,1/31/2020,,37964,Value,8048,-0.018895526,-0.010572904,0.963622471,0.1%,-0.1%,1754,-19.2%,16.4%,5722,-0.2%,-6.7%,54,11,6,159.652777778,0.120659498,0.110956607,229000,0.205897841,0.145572786,146.675358540,5.926277113e-05,0.072603415,$209K,-0.5%,12.5%,3.3,0.7,-0.8,2381,65.7%,1.7%,1,0.337177748,0.096060996,0.002063244,37964,1474,-0.064720812,0.125190840,30,0.239951066,0.040474170,-0.000714187,-1,-2,0.159064994,-0.013205849,0.000471763
"Seattle, WA metro area",March 2014,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",3/1/2014,3/31/2014,,42644,Value,10939,0.094118824,0.047094860,0.999082297,0.3%,-0.1%,3258,32.1%,-3.2%,6679,0.2%,10.6%,23,-16,0,202.919343405,0.019013154,0.095848750,379900,0.040821918,0.088538682,191.719647062,0.015907703,0.108217512,$342K,-2.0%,5.6%,2.1,-0.6,0.3,4370,27.2%,-1.1%,1,0.629297459,0.033095973,-0.011327541,42644,3345,0.381090008,-0.083059211,30,0.240155712,0.014049185,0.026780443,-1,-2,0.343155310,0.032125302,-0.006414040
"Seattle, WA metro area",June 2015,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",6/1/2015,6/30/2015,,42644,Value,12304,0.024564910,-0.044572139,1.014045589,0.1%,1.0%,5179,12.2%,18.3%,6983,4.0%,-16.5%,10,1,-2,222.040549379,-0.010654767,0.071054516,415000,-0.023529412,0.050703402,222.725012432,0.020169403,0.083884333,$415K,3.9%,7.8%,1.3,-0.2,-0.6,5656,-2.8%,6.4%,1,0.639719530,-0.019145425,0.038533466,42644,4849,0.004349627,0.198171485,30,0.267220392,0.016029207,-0.032887173,-1,-2,0.457038038,0.009270375,0.076498979
 National,November 2014,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,11/1/2014,11/30/2014,U.S.,1400,Value,2396110,-0.080159272,0.025019773,0.970832173,-0.1%,-0.2%,378345,-21.2%,-1.5%,1901891,-6.2%,2.4%,63,2,0,121,-0.034742283,0.056086743,220799,-0.037017621,0.062921032,120,-0.002244387,0.048053568,$220K,0.4%,5.8%,5.026863503,0.805450005,0.188644533,397320,-28.5%,-1.6%,1,0.258811936,-0.010871345,0.002252806,,279294,-0.183775886,0.013490832,30,0.089756199,-0.029102999,0.022014296,-1,11,0.175711483,-0.002974438,-0.024431503
 National,June 2015,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,6/1/2015,6/30/2015,U.S.,1400,Value,2723093,0.025662558,0.041148930,0.981605853,0.1%,0.4%,633579,16.1%,16.8%,2040991,1.7%,0.3%,45,-3,-3,133,-0.009070129,0.052366291,250265,-0.025477636,0.052475898,129,0.016275186,0.059433788,$245K,2.6%,6.9%,3.221367940,-0.454272999,-0.528009938,754274,-2.8%,8.0%,1,0.338115542,-0.043177927,0.004585624,,504832,0.046666865,0.209035822,30,0.130122009,0.010908957,0.032999602,-1,11,0.238171907,0.005809825,0.023371082
"Washington, DC metro area",March 2019,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",3/1/2019,3/31/2019,,47894,Value,20084,0.194693950,-0.012440380,0.994768474,0.4%,0.2%,5788,39.4%,-2.5%,12640,10.9%,4.4%,33,-15,13,209.614253394,0.001441641,0.000264507,439102.5,0.033182353,0.033182353,206.474960876,0.003117219,-0.013219904,$406K,4.8%,2.9%,2.2,-0.5,0.2,8818,47.1%,-7.8%,1,0.544855967,0.038148804,-0.099852300,47894,6075,0.537585421,-0.120457507,30,0.202294304,0.028518632,-0.048675728,-1,-2,0.315998618,0.039987057,0.036827040
"Chicago, IL metro area",March 2012,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",3/1/2012,3/31/2012,,16984,Value,50490,0.041181201,-0.155374887,0.945226587,0.4%,0.0%,5775,32.7%,20.3%,41208,1.8%,-19.0%,100,1,-4,118.811881188,0.029702970,-0.070745063,185000,0.033519553,-0.070351759,98.295417877,0.083988649,-0.021453688,$150K,11.1%,-2.0%,7.1,-2.2,-3.5,11725,20.4%,-6.2%,1,0.365604330,0.010439260,0.064725852,16984,4989,0.328274760,0.217423133,30,0.265458163,0.015482860,-0.018198705,-1,-2,0.172121212,-0.000633210,0.000210397
"Chicago, IL metro area",July 2015,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",7/1/2015,7/31/2015,,16984,Value,49335,-0.001517911,0.041108321,0.971232180,-0.1%,-0.3%,10758,-5.0%,11.3%,37649,0.6%,0.8%,40,1,7,139.925373134,-0.034381663,0.038369787,229900,-0.041684035,0.045475216,138.888888889,-0.013811054,0.033591731,$228K,-2.8%,3.6%,3.5,0.2,-0.4,12535,-7.9%,-0.1%,1,0.330247290,-0.024467126,-0.009187435,16984,8209,-0.069696283,0.104845222,30,0.300539191,0.009950264,0.000145627,-1,-2,0.192600855,-0.004554873,-0.014017552
"Boston, MA metro area",August 2014,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",8/1/2014,8/31/2014,,14454,Value,24797,-0.086195460,-0.009387983,0.989131875,-0.3%,0.1%,5177,-7.0%,-8.1%,18711,-9.7%,0.2%,78,3,-4,218.621399177,-0.020255111,0.029738474,379900,-0.023393316,0.070140845,231.814516129,0.000738892,0.023596565,$400K,-1.2%,3.6%,3.6,-0.1,0.3,4273,-18.0%,-9.1%,1,0.037645811,0.006781614,0.000368664,14454,3772,-0.104463438,0.018908698,30,0.175297953,-0.004212736,0.020817263,-1,-2,0.294185822,-0.029687000,-0.002708588
"Boston, MA metro area",June 2019,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",6/1/2019,6/30/2019,,14454,Value,16507,-0.004943035,0.064830344,1.003187362,0.1%,-0.9%,5641,14.9%,-9.7%,11760,16.9%,29.9%,9,-2,0,287.358215805,-0.023901163,0.042136019,529650,-0.036123749,0.059511902,290.100544541,-0.002779378,0.036853476,$530K,2.1%,2.9%,2.1,0.1,0.7,6509,-20.9%,-3.7%,1,0.522716517,-0.110109202,-0.098118219,14454,4226,-0.284940778,-0.288791653,30,0.296258503,-0.027004937,-0.041419614,-1,-2,0.447792945,0.004321769,-0.071336237
 National,December 2018,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,12/1/2018,12/31/2018,U.S.,1400,Value,1878588,-0.115305182,0.056551551,0.977431596,-0.2%,-0.3%,443552,-7.1%,-11.0%,1402307,-10.8%,9.1%,51,5,1,149,-0.039501822,0.033442326,270910,-0.040698335,0.027540142,150,-0.013626435,0.027975681,$278K,-0.6%,2.2%,3.161534366,-0.131362582,0.582913035,316957,-31.8%,-2.7%,1,0.269791097,-0.017369977,-0.039339155,,292186,-0.204196639,-0.053909632,30,0.100289781,-0.049258241,0.020682247,-1,11,0.191496383,-0.013799348,-0.021377361
"Washington, DC metro area",February 2017,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",2/1/2017,2/28/2017,,47894,Value,18885,0.064723459,-0.066162290,0.988659387,0.2%,0.5%,4369,5.8%,8.1%,12492,5.5%,-11.2%,46,-3,-18,201.876966232,0.023964834,0.038166690,406750,0.051182985,0.043218885,197.471590909,0.027456839,0.070600315,$365K,2.2%,6.2%,2.9,0,-0.6,7180,32.4%,11.6%,1,0.619900083,0.133951314,0.072964286,47894,4804,0.194727680,0.168287938,30,0.193083573,-0.004029376,-9.097326021e-05,-1,-2,0.232776379,0.022020565,0.031390926
 National,February 2012,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,2/1/2012,2/29/2012,U.S.,1400,Value,2512660,0.016301779,-0.128746697,0.958331785,0.2%,0.3%,304752,10.5%,15.5%,2075163,1.1%,-16.2%,97,1,-10,106,0.031024665,-0.001187211,192296,0.045274546,0.020407884,90,-0.001415702,-0.016143527,$161K,0.8%,-1.9%,6.809340820,-0.635878510,-2.577539676,513774,7.4%,6.1%,1,0.324780901,0.056639099,0.065448961,,218464,0.153664826,0.260163884,30,0.059885311,-0.006903738,-0.008957726,-1,11,0.175814386,0.004130167,0.003944022
 National,February 2013,All Residential,National,False,US,National,6/14/2020 3:34:49 PM,,,2/1/2013,2/28/2013,U.S.,1400,Value,2140964,0.014918417,-0.147929324,0.970258806,0.2%,1.2%,321668,3.3%,5.6%,1709826,2.1%,-17.6%,78,-1,-18,114,0.042595098,0.077929571,210754,0.062198972,0.095985313,100,0.000658856,0.109445053,$181K,0.7%,13.0%,5.315490192,-0.065782203,-1.493850628,504175,3.6%,-1.9%,1,0.395981625,0.060657629,0.071200723,,251198,0.095084202,0.149836323,30,0.045963586,-0.014764359,-0.013921725,-1,11,0.216123047,0.008414437,0.040308661
"Washington, DC metro area",June 2012,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",6/1/2012,6/30/2012,,47894,Value,23313,-0.022515723,-0.190548939,0.985758597,-0.1%,0.7%,6218,6.2%,3.1%,16930,-0.2%,-23.1%,28,2,-9,176.235747688,-0.005446672,0.059231766,344900,-0.014571429,0.061557402,176.365344094,0.018754755,0.084346925,$350K,3.3%,7.7%,2.7,-0.2,-0.9,6696,-7.9%,-7.0%,1,0.458290633,-0.025346406,0.071500171,47894,4879,-0.092785422,0.029542097,30,0.224040165,-0.004036214,-0.046539518,-1,-2,0.224187842,-0.009549566,0.026442110
"Washington, DC metro area",June 2016,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",6/1/2016,6/30/2016,,47894,Value,26574,-0.005984888,-0.070481654,0.991718678,-0.1%,0.1%,8152,12.4%,7.4%,18185,-0.1%,-12.2%,22,2,-1,200.186219739,0.022160588,0.031262344,385000,-0.024328434,0.026666667,193.181818182,-0.028571429,-0.009255290,$391K,1.6%,0.3%,2.2,-0.3,-0.5,8609,-5.6%,1.0%,1,0.446317013,-0.042725027,0.037035622,47894,6883,-0.051274983,0.068291169,30,0.296508111,0.030771541,-0.003095830,-1,-2,0.253925417,-0.010691240,-0.000751790
"Washington, DC metro area",December 2019,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",12/1/2019,12/31/2019,,47894,Value,15026,-0.172166823,-0.104689269,0.991957060,-0.2%,0.3%,5595,9.2%,8.1%,9621,-20.4%,-14.5%,41,4,-9,210.732814527,-0.024385118,0.094192014,387596.5,-0.042971605,0.076686852,207.692307692,-0.014945055,-0.024885615,$419K,1.0%,4.8%,1.7,-0.7,-0.5,3013,-32.2%,-0.5%,1,0.273039345,-0.037959112,0.030264779,47894,3787,-0.165307472,0.042389210,30,0.159235007,-0.059473603,-0.019498226,-1,-2,0.276854334,-0.006628680,0.047482354
"Seattle, WA metro area",October 2018,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",10/1/2018,10/31/2018,,42644,Value,13021,-0.015797430,0.338369822,0.991654269,-0.4%,-2.4%,3765,8.5%,-18.1%,8518,-6.8%,77.4%,21,4,11,309.557329278,-0.031820367,0.073897346,559950,-0.031228374,0.066591745,304.180247718,0.018645327,0.080421645,$550K,0.9%,7.3%,2.3,-0.3,1.3,3905,-22.4%,-3.2%,1,0.353389600,-0.085099709,-0.215304094,42644,3673,0.019994446,-0.172747748,30,0.469359004,0.072597871,0.141302350,-1,-2,0.254183267,-0.033053841,-0.201567983
"Washington, DC metro area",August 2015,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",8/1/2015,8/31/2015,,47894,Value,27510,-0.034431926,0.055640829,0.986869525,-0.1%,0.0%,6127,-13.7%,7.4%,20346,-2.3%,3.6%,36,7,7,187.074652778,-0.017056938,0.027186585,353950,-0.030273973,0.011285714,190.553583943,-0.016743507,0.000119913,$368K,-1.9%,0.0%,3.3,0.4,-0.1,6958,-13.8%,4.1%,1,0.386345853,0.002008503,0.012569778,47894,5112,-0.120137694,0.088122605,30,0.277400963,-0.021067812,0.011301080,-1,-2,0.220336217,-0.008915580,0.009856020
"Chicago, IL metro area",February 2012,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",2/1/2012,2/29/2012,,16984,Value,48493,0.024139388,-0.134146341,0.941130990,0.2%,-0.5%,4353,8.1%,23.4%,40492,1.2%,-18.3%,99,4,1,115.384615385,0.082428705,-0.063510902,179000,0.119449656,-0.057398631,90.679379278,-0.020000472,-0.065654171,$135K,-3.6%,-8.8%,9.3,-0.6,-4.8,9741,18.6%,11.0%,1,0.355165069,0.044254223,0.072798569,16984,3756,0.208883167,0.442950442,30,0.249975304,-0.006886167,0.024663239,-1,-2,0.172754422,0.014859685,-0.019422449
"Chicago, IL metro area",July 2012,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",7/1/2012,7/31/2012,,16984,Value,49796,-0.018507933,-0.163036170,0.953453638,-0.1%,0.9%,7421,-7.0%,29.9%,40280,-1.6%,-21.1%,62,0,-21,111.597500342,-0.021610956,-0.051539555,169900,-0.028587764,-0.044969084,111.363636364,-0.040559441,-0.035909091,$172K,-4.7%,-4.4%,5.4,0.300000000,-3.5,10027,-7.6%,6.4%,1,0.299516908,-0.027903516,0.047827719,16984,5796,-0.039124668,0.398648649,30,0.268023833,-0.001085731,-0.017891963,-1,-2,0.171405471,0.000267056,0.030824238
"Chicago, IL metro area",May 2017,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",5/1/2017,5/31/2017,,16984,Value,42174,0.047593025,-0.076690676,0.977844734,0.1%,0.4%,10834,22.2%,7.1%,29391,3.1%,-11.8%,29,-5,-7,155.909090909,0.002466813,0.028912656,259900,-0.019245283,0.031349206,149.336953711,0.011610964,0.053458307,$250K,1.6%,6.4%,2.7,-0.5,-0.6,14121,6.6%,0.6%,1,0.444283926,-0.024034169,0.036876518,16984,10383,0.103869870,0.071185392,30,0.266578204,0.029492297,0.004083454,-1,-2,0.229555104,0.013875465,0.017062517
"Chicago, IL metro area",July 2017,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",7/1/2017,7/31/2017,,16984,Value,41726,-0.021871117,-0.078346918,0.977613986,-0.1%,0.3%,9770,-19.5%,-3.0%,30931,1.4%,-9.4%,30,1,-5,149.916666667,-0.029574604,0.024339697,249500,-0.040015391,0.040016674,150.879925894,0.000835836,0.047441974,$250K,-1.6%,3.7%,3.2,0.7,-0.2,11631,-15.3%,-1.6%,1,0.397794741,-0.026495480,0.035846641,16984,8253,-0.132176656,0.015004305,30,0.284342569,0.002763708,0.010489479,-1,-2,0.231525077,-0.008860330,0.019111969
"Boston, MA metro area",May 2013,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",5/1/2013,5/31/2013,,14454,Value,27993,0.139223506,-0.082256901,0.985403904,0.4%,1.3%,4605,34.5%,8.5%,22734,10.0%,-10.9%,78,-7,-14,227.333046101,0.002634819,0.057741740,399000,0.020460358,0.081300813,216.858552632,0.034927015,0.042539404,$365K,4.4%,7.4%,4.9,-1.1,-1.1,7664,-1.1%,21.9%,1,0.059250302,-0.017306791,0.001343844,14454,3308,0.430795848,0.227913883,30,0.146608604,0.021911150,-0.038855350,-1,-2,0.292725299,0.024404131,0.117224710
"Boston, MA metro area",March 2015,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",3/1/2015,3/31/2015,,14454,Value,15303,0.079500564,-0.226535254,0.984060060,0.6%,0.1%,2592,28.6%,-5.0%,9065,-9.5%,-45.2%,100,-8,6,240.017942847,0.005917757,0.041482341,425000,0.024096386,0.062502656,222.142857143,0.015930644,0.047005018,$375K,1.9%,3.6%,3.5,-1.5,-2.6,5475,129.1%,-6.4%,1,0.572496984,0.258278975,0.485901492,14454,4145,0.964454976,1.458481613,30,0.154771098,0.071695711,0.040321279,-1,-2,0.253472222,0.045531776,-0.014025030
"Boston, MA metro area",October 2018,All Residential,Metro,False,MA,,6/14/2020 3:16:51 PM,,"Boston, MA",10/1/2018,10/31/2018,,14454,Value,15684,0.046506973,0.134876990,0.996322630,-0.1%,-0.3%,4250,7.4%,-1.9%,10210,-0.7%,20.8%,16,0,2,282.147239264,-0.015765444,0.043412432,495000,-0.046242775,0.042324700,267.965129906,-0.002837464,0.037125833,$470K,0.0%,5.2%,2.4,-0.2,0.5,5465,-14.8%,15.7%,1,0.483568075,-0.068234294,-0.024960467,14454,4473,0.127552307,0.017284512,30,0.397943193,0.035969854,0.038771595,-1,-2,0.387058824,0.007321582,-0.015340807
"Philadelphia, PA metro area",March 2012,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",3/1/2012,3/31/2012,,37964,Value,14214,0.062014345,-0.046999665,0.931032356,1.0%,-0.1%,1405,33.9%,9.1%,11761,1.9%,-6.4%,94,1,-8,120.791666667,0.004688500,-0.014721773,168900,0.024257126,-0.005885815,101.326897940,0.014957287,-0.013157928,$138K,1.9%,-3.5%,8.4,-2.6,-1.4,3121,20.8%,-5.5%,1,0.368811881,0.021849264,-0.066253054,37964,1212,0.415887850,0.124304267,30,0.203554120,0.198007712,0.203156030,-1,-2,0.099644128,0.005268532,0.011911209
"Philadelphia, PA metro area",May 2012,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",5/1/2012,5/31/2012,,37964,Value,14272,0.009049774,-0.070530772,0.943510773,0.4%,0.0%,1741,22.6%,13.5%,11992,0.5%,-9.4%,64,-12,-8,114.498644986,-0.015931725,-0.044384470,159000,-0.035779260,-0.035779260,117.150890347,0.066429157,0.026233723,$167K,11.0%,9.5%,6.9,-1.5,-1.7,2724,-2.3%,0.0%,1,0.300147493,-0.027384153,-0.013815381,37964,1356,0.072784810,0.094430993,30,0.221230821,0.010889750,0.221004132,-1,-2,0.098219414,0.007374344,-0.011298187
"Philadelphia, PA metro area",July 2012,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",7/1/2012,7/31/2012,,37964,Value,13853,-0.014652536,-0.089875829,0.943909997,-0.3%,0.5%,1629,-6.6%,10.7%,11699,-1.0%,-11.7%,61,6,-6,110.491071429,-0.008034149,0.053822886,149500,-0.002668446,0.068620443,123.001776199,0.004273326,0.045945174,$170K,-1.1%,6.3%,7.2,0.4,-1.8,2428,-3.3%,5.2%,1,0.270244821,-0.028900478,-0.044926119,37964,1062,-0.092307692,0.134615385,30,0.198051115,-0.017250171,0.197598012,-1,-2,0.105586249,0.004668818,0.007693659
"Philadelphia, PA metro area",March 2017,All Residential,Metro,False,PA,,6/14/2020 3:16:51 PM,,"Philadelphia, PA",3/1/2017,3/31/2017,,37964,Value,11662,0.092868522,-0.103267974,0.960428888,0.5%,0.8%,2176,36.8%,16.1%,8579,3.0%,-14.8%,51,-8,-16,147.756138865,0.128319606,0.075744510,214900,0.137037037,0.116363636,125.899280576,0.065676491,0.089751150,$175K,9.3%,9.3%,3.9,-1.3,-1.5,3558,24.8%,-1.6%,1,0.354792561,-0.025861580,-0.052779822,37964,2097,0.459290188,0.167594655,30,0.181489684,0.029472393,-0.003342557,-1,-2,0.154411765,-0.002093578,0.009878431
"Seattle, WA metro area",November 2012,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",11/1/2012,11/30/2012,,42644,Value,10362,-0.144484808,-0.338440912,0.989639683,-0.3%,1.5%,3142,-6.5%,22.4%,7047,-11.7%,-42.2%,31,-1,-31,162.977970649,-0.031862204,0.134122399,299900,-0.062666042,0.1996,165.895061728,-0.008316187,0.115430508,$320K,3.2%,18.3%,2.2,-0.2,-2.6,2484,-23.1%,-5.6%,1,0.433506045,-0.022964543,0.124864070,42644,2316,-0.221512605,0.299663300,30,0.216829857,-0.068061148,-0.079096039,-1,-2,0.275302355,-0.000723820,0.080598305
"Seattle, WA metro area",January 2018,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",1/1/2018,1/31/2018,,42644,Value,5555,0.071773104,-0.129446795,1.012891049,0.3%,0.6%,2515,-34.8%,-12.5%,2393,-2.6%,-21.6%,16,1,-9,294.138239484,0.040320510,0.126134836,545000,0.092184369,0.147368421,277.202072539,-0.005736011,0.155383786,$515K,-2.8%,16.3%,1,0.4,-0.1,3115,90.2%,2.2%,1,0.737369985,0.162125105,0.062666721,42644,2692,0.198575245,-0.001483680,30,0.155871291,0.010224424,-0.040001621,-1,-2,0.416699801,0.015455633,0.045311009
"Seattle, WA metro area",June 2018,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",6/1/2018,6/30/2018,,42644,Value,11536,0.076219797,0.087583671,1.027306230,-1.4%,-1.7%,5034,5.5%,-8.5%,6495,23.8%,31.4%,7,0,0,309.523809524,0.010161387,0.125951622,584900,-0.006960951,0.1698,314.313346228,-0.011538718,0.120133584,$583K,-0.4%,11.0%,1.3,0.2,0.4,6317,-8.6%,-2.6%,1,0.682360197,-0.089999057,-0.056937278,42644,4864,-0.084164941,-0.110135382,30,0.303156274,0.043861708,0.029785169,-1,-2,0.546682559,-0.070588454,-0.075499260
"Seattle, WA metro area",October 2019,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",10/1/2019,10/31/2019,,42644,Value,11135,-0.063498738,-0.144842946,0.994551468,0.0%,0.3%,4059,7.3%,7.8%,6532,-12.4%,-23.3%,19,-2,-2,315,-0.009315902,0.017582109,569000,-0.018880938,0.016162157,299.382127465,0.013853721,-0.015773938,$560K,3.7%,1.8%,1.6,-0.4,-0.7,3725,-15.8%,-4.6%,1,0.459891599,-0.061609360,0.106501999,42644,3690,0.010682005,0.004628369,30,0.407379057,0.039939068,-0.061979948,-1,-2,0.279625524,0.008676541,0.025442257
"Seattle, WA metro area",February 2020,All Residential,Metro,False,WA,,6/14/2020 3:16:51 PM,,"Seattle, WA",2/1/2020,2/29/2020,,42644,Value,7095,0.079580037,-0.130408138,1.006056995,1.2%,1.5%,2937,20.0%,4.5%,3335,4.3%,-35.5%,16,-23,-23,330.664774466,0.051041605,0.021191778,596500,0.011029801,0.004648499,323.045608723,0.068069544,0.077910932,$575K,4.5%,5.5%,1.1,-0.2,-0.7,3931,25.4%,31.1%,1,0.779938272,0.131174748,0.180566356,42644,3240,0.251931994,0.453566622,30,0.141529235,-0.043644365,-0.050503253,-1,-2,0.372829418,0.117414624,0.128788151
"Los Angeles, CA metro area",September 2013,All Residential,Metro,False,CA,,6/14/2020 3:16:51 PM,,"Los Angeles, CA",9/1/2013,9/30/2013,,31084,Value,21378,-0.008487547,-0.035419393,1.004377431,-0.3%,1.4%,6222,-18.2%,-2.2%,14464,6.3%,-1.4%,19,2,-17,305.171158048,0.000154938,0.212389565,458000,0.017777778,0.221333333,297.886131322,-0.008339588,0.256579524,$433K,-2.0%,24.1%,2.3,0.5,0,7882,-8.0%,20.6%,1,0.448426721,-0.030432388,-0.000173099,31084,5943,-0.148201233,0.073712737,30,0.253318584,-0.002760164,0.057341769,-1,-2,0.442622951,-0.032778259,0.090680822
"Washington, DC metro area",January 2015,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",1/1/2015,1/31/2015,,47894,Value,19778,-0.015481109,0.100918453,0.979465745,-0.5%,-0.5%,3540,-32.4%,6.9%,14180,-3.2%,12.8%,61,10,14,183.889161354,0.057033674,0.002267867,350000,0.060609275,0.000285796,183.224755700,-0.030765137,0.026058632,$340K,-8.1%,3.0%,4,1.2,0.2,5294,51.3%,4.1%,1,0.434478565,0.113747626,-0.026749455,47894,3289,0.036231884,-0.051888152,30,0.202397743,0.020716062,0.013515924,-1,-2,0.174858757,-0.017390193,-0.032631427
"Washington, DC metro area",February 2019,All Residential,Metro,False,DC,,6/14/2020 3:16:51 PM,,"Washington, DC",2/1/2019,2/28/2019,,47894,Value,16811,0.044810441,-0.019652438,0.991070656,0.3%,0.1%,4152,1.9%,-5.0%,11394,4.3%,4.0%,48,-12,6,209.3125,0.014912424,0.003915189,425000,0.062765691,0.024096386,205.833333333,0.001553737,0.018514454,$387K,0.6%,3.3%,2.7,0,0.2,5994,21.7%,-11.2%,1,0.506707163,0.129364989,-0.137321433,47894,3951,0.138944941,-0.169259882,30,0.173775671,-0.029429457,-0.083773822,-1,-2,0.276011561,0.044657292,0.016345580
"Chicago, IL metro area",September 2012,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",9/1/2012,9/30/2012,,16984,Value,46745,-0.040911795,-0.173707841,0.956588523,0.2%,1.5%,6580,-18.5%,20.9%,38034,-2.4%,-21.1%,63,-1,-23,106.181603076,-0.024734381,-0.060519198,159900,-0.030909091,-0.056637168,103.625,-0.050104167,-0.014284932,$160K,-5.8%,0.0%,5.8,1,-3.1,8805,-9.5%,3.7%,1,0.316097758,0.019303000,0.051149870,16984,4951,-0.123251284,0.357926495,30,0.250854499,-0.028689731,-0.038310872,-1,-2,0.191337386,0.012580268,0.040712845
"Chicago, IL metro area",August 2014,All Residential,Metro,False,IL,,6/14/2020 3:16:51 PM,,"Chicago, IL",8/1/2014,8/31/2014,,16984,Value,47704,0.006689598,0.111955432,0.969968458,-0.4%,-0.5%,9050,-6.4%,-9.6%,37295,-0.1%,15.5%,40,7,2,130.754892146,-0.029683277,0.063047904,209900,-0.045475216,0.076962545,131.639722864,-0.020355551,0.054061179,$217K,-1.5%,9.7%,4.1,0.2,0.9,10979,-12.5%,-3.0%,1,0.321076360,-0.018358365,-0.038393839,16984,7098,-0.044683715,-0.059867550,30,0.289475801,-0.010917763,0.040257704,-1,-2,0.188839779,-0.017778628,-0.052298514
